Part #,Width,Height,Max Length,Thickness
1,224,227,229.296750958,224.321198285
2,114,143,150.880747612,115.433963806
3,141,110,157.0,109.293183685
4,256,245,280.044639299,181.024860171
5,171,166,173.118456555,166.207701386
6,124,154,159.411417408,121.334249081
7,149,188,205.353354002,135.11846654
8,139,139,142.618371888,137.528178931
9,173,157,178.443268296,156.604597634
10,128,127,130.0,126.400158228
11,194,194,195.256241898,192.439600914
12,96,95,98.4073168011,93.4077084613
13,165,165,167.73789077,164.149322265
